Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR
Cesarean section,7,8,18,Low
Hysterectomy,8,19,29,Mid
Hip replacement,5,6,27,Mid
Knee arthroscopy,4,1,34,High
Cesarean section,5,21,42,High
Prostatectomy,10,23,10,High
Hernia repair,1,27,30,High
Cesarean section,3,22,48,High
Hip replacement,2,6,47,High
Knee arthroscopy,6,7,38,High
Hysterectomy,8,6,35,High
Hip replacement,4,20,29,High
Hip replacement,5,22,22,High
Hernia repair,9,28,18,High
Cataract surgery,1,13,11,Mid
Knee arthroscopy,2,25,14,High
Cholecystectomy,2,18,30,High
Hip replacement,8,4,42,High
Cataract surgery,6,22,36,High
Cholecystectomy,7,30,36,High
Knee arthroscopy,10,24,14,High
Appendectomy,9,30,28,High
Prostatectomy,10,17,49,High
Cataract surgery,8,19,42,High
Coronary artery bypass graft (CABG),5,11,25,Mid
Appendectomy,3,22,43,High
Prostatectomy,0,16,1,Mid
Hernia repair,7,12,19,Mid
Cesarean section,6,1,14,Low
Hysterectomy,1,24,3,High
Coronary artery bypass graft (CABG),7,12,21,Mid
Hernia repair,4,25,49,High
Knee arthroscopy,6,6,37,High
Hernia repair,3,27,22,High
Cesarean section,4,9,25,Mid
Knee arthroscopy,7,22,50,High
Coronary artery bypass graft (CABG),0,5,10,Low
Cesarean section,0,2,27,Mid
Cholecystectomy,3,25,1,High
Hysterectomy,2,2,7,Low
Coronary artery bypass graft (CABG),9,17,28,Mid
Cholecystectomy,1,10,10,Mid
Prostatectomy,2,21,36,High
Coronary artery bypass graft (CABG),10,19,17,Mid
Prostatectomy,10,4,49,High
Knee arthroscopy,10,18,13,Mid
Cholecystectomy,0,21,9,High
Hysterectomy,0,26,34,High
Cesarean section,5,27,8,High
Hip replacement,4,18,34,High
Hernia repair,7,29,10,High
Appendectomy,1,14,43,High
Hysterectomy,3,29,11,High
Cholecystectomy,7,15,2,Mid
Hip replacement,5,23,38,High
Hysterectomy,0,8,13,Low
Cholecystectomy,3,3,27,Mid
Cataract surgery,0,14,10,Mid
Cataract surgery,1,24,38,High
Prostatectomy,4,11,24,Mid
Hysterectomy,7,22,20,High
Cataract surgery,7,2,9,Low
Cholecystectomy,10,22,42,High
Prostatectomy,2,13,14,Mid
Cholecystectomy,10,16,18,Mid
Prostatectomy,3,18,47,High
Hysterectomy,9,5,21,Mid
Hip replacement,10,3,20,Mid
Cesarean section,5,6,43,High
Coronary artery bypass graft (CABG),10,29,31,High
Hip replacement,10,18,49,High
Knee arthroscopy,9,16,22,Mid
Cholecystectomy,2,24,12,High
Knee arthroscopy,1,15,4,Mid
Hip replacement,5,14,3,Mid
Prostatectomy,10,21,27,High
Coronary artery bypass graft (CABG),4,7,13,Low
Coronary artery bypass graft (CABG),9,18,7,Mid
Appendectomy,4,7,8,Low
Coronary artery bypass graft (CABG),9,17,50,High
Cesarean section,4,27,34,High
Coronary artery bypass graft (CABG),9,15,36,High
Hip replacement,4,19,20,Mid
Appendectomy,2,18,17,Mid
Hip replacement,6,9,32,High
Hip replacement,5,16,7,Mid
Hernia repair,3,30,50,High
Appendectomy,1,12,48,High
Hip replacement,8,12,16,Mid
Hernia repair,0,6,42,High
Hernia repair,10,26,30,High
Appendectomy,3,9,33,High
Knee arthroscopy,0,1,5,Low
Prostatectomy,5,3,21,Mid
Cesarean section,3,24,13,High
Prostatectomy,4,5,2,Low
Coronary artery bypass graft (CABG),4,23,11,High
Cesarean section,8,17,35,High
Coronary artery bypass graft (CABG),0,22,11,High
Hip replacement,1,5,44,High
Cholecystectomy,5,28,1,High
Appendectomy,4,29,1,High
Cesarean section,10,24,14,High
Cesarean section,6,22,22,High
Hip replacement,2,16,28,Mid
Knee arthroscopy,2,13,16,Mid
Hernia repair,9,23,31,High
Hip replacement,1,10,6,Mid
Cataract surgery,2,25,29,High
Hernia repair,9,30,27,High
Appendectomy,0,18,13,Mid
Hernia repair,4,29,43,High
Knee arthroscopy,4,1,29,Mid
Hernia repair,10,27,16,High
Appendectomy,6,2,31,High
Knee arthroscopy,3,10,45,High
Prostatectomy,2,5,5,Low
Cesarean section,0,28,50,High
Cesarean section,7,13,23,Mid
Coronary artery bypass graft (CABG),2,18,5,Mid
Prostatectomy,1,25,26,High
Prostatectomy,10,15,17,Mid
Hernia repair,3,20,23,High
Cesarean section,2,21,36,High
Appendectomy,0,23,23,High
Hysterectomy,2,6,37,High
Hysterectomy,1,29,33,High
Knee arthroscopy,7,26,39,High
Cesarean section,5,7,46,High
Cesarean section,8,18,14,Mid
Hysterectomy,7,19,10,Mid
Cesarean section,9,15,21,Mid
Hernia repair,2,21,23,High
Cataract surgery,4,26,0,High
Cholecystectomy,6,6,17,Low
Prostatectomy,4,8,43,High
Coronary artery bypass graft (CABG),7,12,11,Mid
Knee arthroscopy,4,0,42,High
Cataract surgery,0,28,27,High
Hysterectomy,4,30,39,High
Prostatectomy,3,7,6,Low
Cesarean section,5,23,22,High
Coronary artery bypass graft (CABG),2,21,20,High
Cesarean section,10,3,33,High
Appendectomy,4,2,10,Low
Appendectomy,1,26,21,High
Coronary artery bypass graft (CABG),10,2,41,High
Coronary artery bypass graft (CABG),5,21,34,High
Hysterectomy,5,12,28,Mid
Coronary artery bypass graft (CABG),4,7,41,High
Hernia repair,5,6,27,Mid
Cesarean section,10,26,17,High
Cataract surgery,6,0,13,Low
Hip replacement,4,26,17,High
Coronary artery bypass graft (CABG),0,15,27,Mid
Knee arthroscopy,7,5,23,Mid
Appendectomy,3,6,7,Low
Hernia repair,8,11,41,High
Prostatectomy,9,22,44,High
Hip replacement,5,8,7,Low
Cataract surgery,0,26,3,High
Hip replacement,2,10,26,Mid
Coronary artery bypass graft (CABG),2,9,35,High
Hysterectomy,9,20,4,High
Appendectomy,3,0,32,High
Appendectomy,5,17,48,High
Prostatectomy,6,30,33,High
Hysterectomy,9,3,29,Mid
Cesarean section,3,4,7,Low
Cholecystectomy,5,8,38,High
Hernia repair,10,26,46,High
Appendectomy,0,30,25,High
Knee arthroscopy,7,16,36,High
Appendectomy,6,2,33,High
Hip replacement,10,15,6,Mid
Appendectomy,10,4,39,High
Appendectomy,8,15,27,Mid
Cholecystectomy,2,2,38,High
Cholecystectomy,1,19,38,High
Cataract surgery,0,14,27,Mid
Cesarean section,2,29,13,High
Knee arthroscopy,4,2,49,High
Appendectomy,10,19,37,High
Appendectomy,1,13,3,Mid
Hernia repair,2,30,41,High
Cholecystectomy,3,15,17,Mid
Knee arthroscopy,6,28,43,High
Prostatectomy,2,28,47,High
Cataract surgery,8,30,24,High
Cesarean section,7,30,6,High
Hysterectomy,3,16,37,High
Cesarean section,0,27,27,High
Hip replacement,0,23,4,High
Appendectomy,0,19,2,Mid
Cataract surgery,0,22,43,High
Hip replacement,7,17,30,High
Knee arthroscopy,2,17,46,High
Hysterectomy,5,21,41,High
Cholecystectomy,2,13,19,Mid
Cataract surgery,10,17,18,Mid
Cataract surgery,4,14,47,High
Appendectomy,6,14,10,Mid
Coronary artery bypass graft (CABG),1,5,39,High
Cataract surgery,5,26,2,High
Hernia repair,5,14,22,Mid
Hysterectomy,10,17,6,Mid
Hysterectomy,2,3,22,Mid
Hernia repair,5,22,6,High
Prostatectomy,9,7,45,High
Hernia repair,9,14,33,High
Hernia repair,4,2,41,High
Hysterectomy,1,29,18,High
Cesarean section,8,14,8,Mid
Hysterectomy,7,12,47,High
Coronary artery bypass graft (CABG),2,8,50,High
Appendectomy,7,1,17,Low
Hip replacement,8,23,40,High
Cesarean section,2,7,47,High
Cholecystectomy,2,28,44,High
Hip replacement,1,29,41,High
Appendectomy,7,19,24,Mid
Coronary artery bypass graft (CABG),9,16,13,Mid
Coronary artery bypass graft (CABG),0,12,43,High
Cholecystectomy,7,0,24,Mid
Cesarean section,6,1,18,Low
Prostatectomy,6,29,38,High
Hernia repair,2,14,14,Mid
Cesarean section,0,11,15,Mid
Prostatectomy,3,13,26,Mid
Coronary artery bypass graft (CABG),8,24,39,High
Hysterectomy,4,28,9,High
Appendectomy,0,1,3,Low
Cholecystectomy,4,17,50,High
Appendectomy,7,21,18,High
Knee arthroscopy,7,6,27,Mid
Knee arthroscopy,4,28,20,High
Cesarean section,8,22,46,High
Coronary artery bypass graft (CABG),0,30,13,High
Coronary artery bypass graft (CABG),3,28,32,High
Hernia repair,2,24,47,High
Hernia repair,1,5,9,Low
Hernia repair,7,13,18,Mid
Hysterectomy,6,7,29,Mid
Hip replacement,8,26,21,High
Cataract surgery,1,21,2,High
Hip replacement,3,1,36,High
Appendectomy,5,16,40,High
Hip replacement,10,4,17,Low
Hysterectomy,2,13,10,Mid
Appendectomy,7,24,47,High
Hip replacement,2,23,1,High
Hysterectomy,1,29,11,High
Cataract surgery,2,28,5,High
Hip replacement,10,19,42,High
Hysterectomy,5,20,39,High
Hernia repair,1,28,43,High
Coronary artery bypass graft (CABG),7,20,28,High
Hernia repair,0,21,29,High
Coronary artery bypass graft (CABG),6,2,1,Low
Cholecystectomy,1,4,8,Low
Cholecystectomy,9,15,46,High
Cholecystectomy,5,17,1,Mid
Cataract surgery,1,25,28,High
Hernia repair,1,16,32,High
Coronary artery bypass graft (CABG),9,10,9,Mid
Hysterectomy,7,16,33,High
Appendectomy,1,15,43,High
Hysterectomy,6,25,7,High
Appendectomy,2,22,36,High
Knee arthroscopy,7,1,32,High
Hysterectomy,6,3,46,High
Hip replacement,7,20,5,High
Hip replacement,6,6,43,High
Cesarean section,10,1,39,High
Hernia repair,5,29,44,High
Appendectomy,6,5,18,Low
Appendectomy,4,16,31,High
Hernia repair,6,6,26,Mid
Cataract surgery,0,24,0,High
Cesarean section,0,4,42,High
Cataract surgery,8,4,32,High
Cataract surgery,4,19,39,High
Cataract surgery,4,15,31,High
Hernia repair,2,18,4,Mid
Cataract surgery,4,8,16,Low
Hip replacement,2,4,7,Low
Cholecystectomy,8,7,41,High
Knee arthroscopy,8,8,33,High
Appendectomy,5,4,8,Low
Appendectomy,0,9,22,Mid
Knee arthroscopy,6,24,34,High
Hernia repair,6,1,49,High
Hysterectomy,9,8,6,Low
Hernia repair,9,10,14,Mid
Appendectomy,3,3,19,Low
Appendectomy,7,21,49,High
Knee arthroscopy,5,21,24,High
Cataract surgery,3,21,2,High
Hernia repair,3,1,45,High
Coronary artery bypass graft (CABG),1,22,23,High
Knee arthroscopy,1,28,33,High
Hip replacement,3,5,45,High
Appendectomy,4,26,21,High
Knee arthroscopy,7,13,10,Mid
Hernia repair,5,0,47,High
Appendectomy,3,17,7,Mid
Hysterectomy,10,6,38,High
Knee arthroscopy,6,0,42,High
Cesarean section,7,30,34,High
Appendectomy,1,0,48,High
Hernia repair,6,0,45,High
Cholecystectomy,1,23,37,High
Coronary artery bypass graft (CABG),1,3,7,Low
Prostatectomy,7,3,36,High
Cataract surgery,1,28,26,High
Prostatectomy,10,17,27,Mid
Hernia repair,8,26,39,High
Hip replacement,0,10,33,High
Hip replacement,8,26,31,High
Cholecystectomy,0,0,14,Low
Cataract surgery,9,27,43,High
Cesarean section,9,9,16,Low
Cholecystectomy,1,8,32,High
Prostatectomy,5,22,46,High
Cholecystectomy,5,3,45,High
Prostatectomy,0,27,15,High
Appendectomy,6,5,28,Mid
Hip replacement,7,29,8,High
Appendectomy,1,15,32,High
Coronary artery bypass graft (CABG),7,1,48,High
Cataract surgery,8,22,28,High
Cesarean section,5,17,12,Mid
Prostatectomy,4,9,20,Mid
Cesarean section,8,23,20,High
Prostatectomy,10,23,4,High
Hernia repair,8,16,9,Mid
Cholecystectomy,0,12,5,Mid
Coronary artery bypass graft (CABG),10,23,50,High
Hip replacement,2,17,12,Mid
Prostatectomy,8,21,0,High
Cesarean section,10,12,19,Mid
Coronary artery bypass graft (CABG),1,16,46,High
Hysterectomy,3,4,45,High
Hysterectomy,3,10,7,Mid
Appendectomy,1,6,9,Low
Hip replacement,2,28,8,High
Hernia repair,2,9,48,High
Cesarean section,0,16,40,High
Cholecystectomy,5,14,2,Mid
Cholecystectomy,7,17,10,Mid
Cesarean section,2,22,11,High
Cataract surgery,4,21,9,High
Hernia repair,0,18,24,Mid
Coronary artery bypass graft (CABG),9,29,48,High
Prostatectomy,6,25,48,High
Cataract surgery,9,1,24,Mid
Prostatectomy,0,25,10,High
Prostatectomy,10,3,35,High
Cataract surgery,8,2,38,High
Appendectomy,7,6,25,Mid
Hysterectomy,6,23,13,High
Prostatectomy,9,17,38,High
Cataract surgery,6,9,39,High
Cataract surgery,4,6,0,Low
Knee arthroscopy,4,7,3,Low
Appendectomy,10,5,29,Mid
Hip replacement,4,21,11,High
Knee arthroscopy,0,25,34,High
Knee arthroscopy,7,0,12,Low
Cesarean section,10,3,30,High
Hysterectomy,0,13,37,High
Cataract surgery,3,16,42,High
Hysterectomy,8,19,22,Mid
Hernia repair,8,17,3,Mid
Cesarean section,4,10,15,Mid
Hip replacement,3,28,6,High
Hysterectomy,2,20,21,High
Cholecystectomy,2,25,28,High
Prostatectomy,4,13,10,Mid
Hernia repair,9,8,32,High
Appendectomy,0,26,28,High
Hip replacement,4,14,38,High
Hernia repair,5,11,11,Mid
Prostatectomy,6,9,6,Low
Cesarean section,8,18,38,High
Prostatectomy,2,23,41,High
Knee arthroscopy,1,18,47,High
Prostatectomy,2,5,25,Mid
Knee arthroscopy,8,19,39,High
Cesarean section,6,23,8,High
Coronary artery bypass graft (CABG),8,26,40,High
Knee arthroscopy,1,5,33,High
Appendectomy,4,7,44,High
Prostatectomy,3,0,12,Low
Prostatectomy,1,21,35,High
Appendectomy,8,16,24,Mid
Cholecystectomy,8,16,23,Mid
Cataract surgery,5,23,43,High
Coronary artery bypass graft (CABG),10,14,16,Mid
Hip replacement,5,6,1,Low
Knee arthroscopy,7,18,12,Mid
Appendectomy,5,21,30,High
Cesarean section,0,30,28,High
Knee arthroscopy,3,24,49,High
Cataract surgery,6,22,27,High
Cesarean section,1,27,26,High
Hernia repair,8,2,14,Low
Prostatectomy,7,29,30,High
Hernia repair,7,29,39,High
Knee arthroscopy,6,28,14,High
Cataract surgery,3,21,32,High
Coronary artery bypass graft (CABG),1,10,19,Mid
Knee arthroscopy,2,19,41,High
Appendectomy,5,29,11,High
Hysterectomy,4,28,36,High
Knee arthroscopy,7,18,8,Mid
Prostatectomy,5,8,22,Mid
Prostatectomy,5,9,7,Low
Knee arthroscopy,0,1,31,High
Cesarean section,3,0,47,High
Hysterectomy,4,30,13,High
Appendectomy,10,29,26,High
Knee arthroscopy,2,15,24,Mid
Cesarean section,8,17,12,Mid
Prostatectomy,0,22,20,High
Prostatectomy,5,25,44,High
Cataract surgery,5,16,30,High
Knee arthroscopy,9,5,36,High
Hysterectomy,4,13,47,High
Cholecystectomy,4,22,42,High
Hysterectomy,9,24,4,High
Prostatectomy,4,14,12,Mid
Prostatectomy,5,13,27,Mid
Hernia repair,7,23,42,High
Prostatectomy,1,21,24,High
Appendectomy,5,2,50,High
Hip replacement,0,23,34,High
Knee arthroscopy,3,22,46,High
Hysterectomy,9,18,38,High
Hip replacement,2,24,6,High
Cesarean section,8,11,37,High
Cholecystectomy,2,1,31,High
Appendectomy,5,2,2,Low
Hysterectomy,0,17,44,High
Hip replacement,5,28,38,High
Cholecystectomy,3,0,36,High
Hernia repair,7,19,49,High
Appendectomy,10,20,21,High
Appendectomy,8,28,7,High
Hernia repair,3,5,16,Low
Knee arthroscopy,9,4,26,Mid
Hernia repair,9,0,32,High
Appendectomy,5,18,45,High
Appendectomy,0,0,16,Low
Hip replacement,3,26,41,High
Prostatectomy,6,20,11,High
Cholecystectomy,0,20,47,High
Hernia repair,7,15,45,High
Cholecystectomy,9,11,26,Mid
Hernia repair,10,26,47,High
Cesarean section,5,28,7,High
Appendectomy,4,21,22,High
Prostatectomy,9,7,41,High
Hip replacement,10,25,48,High
Prostatectomy,8,15,28,Mid
Prostatectomy,1,27,49,High
Prostatectomy,4,0,19,Low
Cholecystectomy,5,3,15,Low
Hernia repair,6,9,16,Low
Coronary artery bypass graft (CABG),4,10,15,Mid
Cesarean section,8,16,18,Mid
Hysterectomy,0,24,7,High
Prostatectomy,6,26,37,High
Knee arthroscopy,9,22,37,High
Cholecystectomy,6,6,28,Mid
Hip replacement,3,11,40,High
Hysterectomy,8,20,35,High
Coronary artery bypass graft (CABG),10,6,25,Mid
Knee arthroscopy,4,11,30,High
Coronary artery bypass graft (CABG),3,14,43,High
Hysterectomy,6,1,11,Low
Prostatectomy,3,13,16,Mid
Knee arthroscopy,2,12,14,Mid
Coronary artery bypass graft (CABG),8,3,8,Low
Hip replacement,10,13,38,High
Hernia repair,7,13,41,High
Appendectomy,0,15,47,High
Hernia repair,6,6,11,Low
Hysterectomy,8,18,31,High
Cholecystectomy,7,1,24,Mid
Appendectomy,7,9,38,High
Cesarean section,5,17,17,Mid
Hip replacement,10,28,14,High
Cesarean section,3,16,31,High
Knee arthroscopy,7,4,5,Low
Appendectomy,2,11,43,High
Cesarean section,8,5,42,High
Cesarean section,1,21,34,High
Coronary artery bypass graft (CABG),1,8,33,High
Hernia repair,6,19,37,High
Coronary artery bypass graft (CABG),9,0,4,Low
Appendectomy,3,21,17,High
Appendectomy,9,14,15,Mid
Hysterectomy,7,20,7,High
Coronary artery bypass graft (CABG),8,25,24,High
Cataract surgery,6,5,31,High
Hernia repair,4,18,25,Mid
Appendectomy,7,17,21,Mid
Hysterectomy,3,5,30,High
Coronary artery bypass graft (CABG),1,12,42,High
Hernia repair,10,0,9,Low
Coronary artery bypass graft (CABG),5,22,11,High
Cesarean section,8,22,27,High
Hysterectomy,0,25,5,High
Hernia repair,10,12,19,Mid
Prostatectomy,9,6,4,Low
Knee arthroscopy,6,14,22,Mid
Knee arthroscopy,9,11,8,Mid
Hernia repair,8,26,28,High
Coronary artery bypass graft (CABG),9,25,15,High
Hysterectomy,8,0,45,High
Knee arthroscopy,9,14,21,Mid
Hysterectomy,10,3,7,Low
Knee arthroscopy,2,12,19,Mid
Cesarean section,10,22,50,High
Coronary artery bypass graft (CABG),4,26,13,High
Cesarean section,7,24,38,High
Knee arthroscopy,7,4,36,High
Prostatectomy,3,28,49,High
Prostatectomy,10,1,33,High
Cesarean section,10,22,10,High
Prostatectomy,0,25,39,High
Knee arthroscopy,0,0,32,High
Hernia repair,3,15,30,High
Cesarean section,5,22,43,High
Cholecystectomy,7,5,33,High
Coronary artery bypass graft (CABG),5,22,49,High
Prostatectomy,8,15,6,Mid
Prostatectomy,8,13,48,High
Appendectomy,1,28,22,High
Cataract surgery,9,25,45,High
Cesarean section,0,2,6,Low
Hip replacement,1,14,24,Mid
Prostatectomy,4,2,2,Low
Coronary artery bypass graft (CABG),3,22,37,High
Cholecystectomy,3,28,19,High
Prostatectomy,8,1,33,High
Cholecystectomy,10,0,48,High
Knee arthroscopy,7,8,43,High
Knee arthroscopy,5,8,43,High
Cataract surgery,0,22,29,High
Hernia repair,1,6,16,Low
Hip replacement,5,2,9,Low
Appendectomy,10,25,34,High
Cataract surgery,1,30,19,High
Hysterectomy,9,17,17,Mid
Appendectomy,4,10,44,High
Cesarean section,4,6,43,High
Coronary artery bypass graft (CABG),5,8,26,Mid
Hysterectomy,5,0,48,High
Hysterectomy,5,28,35,High
Cataract surgery,1,13,22,Mid
Hernia repair,9,19,31,High
Cataract surgery,2,5,9,Low
Cesarean section,5,6,10,Low
Prostatectomy,7,9,37,High
Prostatectomy,10,6,5,Low
Hernia repair,0,25,40,High
Cesarean section,0,1,46,High
Hernia repair,10,29,33,High
Cholecystectomy,1,3,35,High
Prostatectomy,10,20,36,High
Hysterectomy,5,29,16,High
Hip replacement,8,27,39,High
Coronary artery bypass graft (CABG),3,16,39,High
Cesarean section,2,0,11,Low
Appendectomy,7,9,20,Mid
Hernia repair,10,18,39,High
Coronary artery bypass graft (CABG),9,30,18,High
Appendectomy,8,14,2,Mid
Coronary artery bypass graft (CABG),10,9,17,Low
Hip replacement,4,18,50,High
Appendectomy,8,11,18,Mid
Cataract surgery,1,23,46,High
Knee arthroscopy,2,15,5,Mid
Cataract surgery,6,8,15,Low
Prostatectomy,6,14,7,Mid
Knee arthroscopy,5,29,47,High
Cataract surgery,5,26,17,High
Knee arthroscopy,1,27,47,High
Knee arthroscopy,9,16,42,High
Hysterectomy,5,13,38,High
Hernia repair,3,26,48,High
Hernia repair,2,17,48,High
Hysterectomy,10,25,11,High
Coronary artery bypass graft (CABG),1,1,44,High
Cholecystectomy,0,30,9,High
Coronary artery bypass graft (CABG),10,3,6,Low
Appendectomy,10,17,45,High
Appendectomy,4,6,0,Low
Knee arthroscopy,1,12,48,High
Cataract surgery,1,14,35,High
Cataract surgery,6,24,20,High
Hernia repair,7,22,36,High
Cesarean section,9,27,23,High
Coronary artery bypass graft (CABG),7,21,24,High
Prostatectomy,3,30,6,High
Hip replacement,0,25,41,High
Cataract surgery,10,0,16,Low
Hip replacement,6,10,28,Mid
Knee arthroscopy,0,9,29,Mid
Hip replacement,10,24,6,High
Prostatectomy,3,4,32,High
Hysterectomy,7,15,6,Mid
Prostatectomy,1,10,23,Mid
Hip replacement,5,20,10,High
Prostatectomy,5,5,8,Low
Cholecystectomy,8,8,11,Low
Knee arthroscopy,4,12,34,High
Coronary artery bypass graft (CABG),9,23,3,High
Hysterectomy,3,7,35,High
Cataract surgery,4,13,27,Mid
Appendectomy,9,23,12,High
Coronary artery bypass graft (CABG),10,0,22,Mid
Appendectomy,4,16,18,Mid
Knee arthroscopy,7,23,41,High
Hysterectomy,9,4,36,High
Hernia repair,7,24,38,High
Cataract surgery,1,1,23,Mid
Cholecystectomy,6,24,15,High
Hernia repair,7,27,32,High
Knee arthroscopy,10,29,11,High
Coronary artery bypass graft (CABG),5,23,33,High
Cholecystectomy,4,8,6,Low
Prostatectomy,10,3,10,Low
Hip replacement,8,16,30,High
Cholecystectomy,2,16,28,Mid
Knee arthroscopy,9,20,12,High
Cesarean section,3,17,30,High
Hip replacement,8,15,1,Mid
Appendectomy,5,29,38,High
Cataract surgery,7,7,14,Low
Appendectomy,6,25,10,High
Cholecystectomy,10,10,33,High
Appendectomy,1,20,38,High
Knee arthroscopy,2,20,3,High
Prostatectomy,0,17,10,Mid
Coronary artery bypass graft (CABG),8,22,28,High
Cataract surgery,6,28,1,High
Appendectomy,0,23,15,High
Appendectomy,2,9,38,High
Cholecystectomy,3,12,12,Mid
Coronary artery bypass graft (CABG),3,16,36,High
Hernia repair,4,17,16,Mid
Appendectomy,2,9,20,Mid
Knee arthroscopy,2,15,43,High
Cesarean section,0,19,18,Mid
Cataract surgery,6,4,6,Low
Appendectomy,10,12,37,High
Knee arthroscopy,9,17,7,Mid
Knee arthroscopy,0,16,12,Mid
Cataract surgery,1,8,36,High
Hernia repair,3,13,1,Mid
Knee arthroscopy,3,16,40,High
Cesarean section,4,28,10,High
Knee arthroscopy,10,30,23,High
Knee arthroscopy,1,3,5,Low
Knee arthroscopy,3,17,25,Mid
Prostatectomy,0,26,6,High
Prostatectomy,1,19,38,High
Hernia repair,0,23,18,High
Appendectomy,9,23,5,High
Knee arthroscopy,9,14,42,High
Coronary artery bypass graft (CABG),3,10,28,Mid
Appendectomy,3,11,42,High
Hernia repair,6,8,38,High
Hysterectomy,9,12,1,Mid
Appendectomy,10,14,18,Mid
Appendectomy,10,26,3,High
Hip replacement,8,14,5,Mid
Cholecystectomy,8,27,48,High
Hip replacement,4,4,36,High
Cesarean section,9,22,27,High
Prostatectomy,0,18,29,Mid
Prostatectomy,0,25,6,High
Cholecystectomy,5,19,8,Mid
Cataract surgery,1,25,24,High
Cataract surgery,7,24,32,High
Hernia repair,8,25,0,High
Cholecystectomy,3,25,50,High
Appendectomy,4,13,5,Mid
Cataract surgery,10,27,17,High
Knee arthroscopy,7,16,9,Mid
Coronary artery bypass graft (CABG),2,17,27,Mid
Appendectomy,4,20,10,High
Cesarean section,2,2,32,High
Knee arthroscopy,9,1,0,Low
Knee arthroscopy,2,0,12,Low
Cholecystectomy,2,9,36,High
Hernia repair,6,18,19,Mid
Cesarean section,6,16,0,Mid
Cataract surgery,6,11,2,Mid
Cholecystectomy,9,0,17,Low
Cataract surgery,7,11,40,High
Cholecystectomy,4,16,13,Mid
Cholecystectomy,4,23,30,High
Cholecystectomy,3,30,26,High
Hernia repair,6,2,16,Low
Cholecystectomy,9,10,45,High
Hysterectomy,3,16,28,Mid
Coronary artery bypass graft (CABG),1,22,35,High
Cataract surgery,3,25,36,High
Appendectomy,7,2,25,Mid
Hip replacement,8,7,16,Low
Cesarean section,2,19,21,Mid
Prostatectomy,6,3,24,Mid
Hernia repair,8,20,1,High
Appendectomy,10,21,21,High
Knee arthroscopy,3,6,4,Low
Hysterectomy,9,13,3,Mid
Prostatectomy,2,13,35,High
Hip replacement,4,3,5,Low
Appendectomy,0,15,20,Mid
Prostatectomy,2,23,12,High
Appendectomy,7,28,36,High
Hysterectomy,10,21,24,High
Hip replacement,7,29,25,High
Knee arthroscopy,3,0,38,High
Cholecystectomy,1,16,19,Mid
Cataract surgery,7,24,32,High
Knee arthroscopy,7,9,13,Low
Cholecystectomy,9,21,35,High
Hernia repair,3,15,16,Mid
Coronary artery bypass graft (CABG),2,15,20,Mid
Cesarean section,1,25,45,High
Cesarean section,8,7,15,Low
Cataract surgery,0,28,45,High
Hip replacement,6,6,15,Low
Hysterectomy,4,27,19,High
Hip replacement,7,5,28,Mid
Hysterectomy,3,15,27,Mid
Hip replacement,6,19,7,Mid
Coronary artery bypass graft (CABG),4,15,23,Mid
Hernia repair,4,6,2,Low
Hernia repair,8,8,24,Mid
Cholecystectomy,8,13,18,Mid
Prostatectomy,8,10,32,High
Hernia repair,5,25,1,High
Hernia repair,5,25,14,High
Knee arthroscopy,4,13,21,Mid
Knee arthroscopy,8,6,9,Low
Cholecystectomy,9,0,17,Low
