Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR
Prostatectomy,7,25,21,High
Cataract surgery,6,24,45,High
Knee arthroscopy,6,12,48,High
Cataract surgery,5,19,26,Mid
Appendectomy,4,30,12,High
Knee arthroscopy,3,2,32,High
Coronary artery bypass graft (CABG),2,19,4,Mid
Prostatectomy,2,3,25,Mid
Cholecystectomy,5,28,12,High
Appendectomy,3,25,26,High
Prostatectomy,5,10,13,Mid
Coronary artery bypass graft (CABG),2,1,23,Mid
Prostatectomy,3,13,2,Mid
Coronary artery bypass graft (CABG),8,11,46,High
Coronary artery bypass graft (CABG),4,29,50,High
Cataract surgery,6,16,48,High
Hip replacement,9,11,29,Mid
Appendectomy,1,25,34,High
Prostatectomy,4,11,47,High
Hysterectomy,8,0,13,Low
Appendectomy,10,12,11,Mid
Hip replacement,2,13,27,Mid
Appendectomy,8,23,43,High
Hernia repair,10,29,28,High
Hysterectomy,5,1,42,High
Hip replacement,3,11,16,Mid
Cataract surgery,6,25,39,High
Prostatectomy,7,20,48,High
Cesarean section,5,27,20,High
Hip replacement,4,15,22,Mid
Cholecystectomy,5,3,19,Low
Prostatectomy,4,7,10,Low
Hip replacement,7,1,33,High
Hernia repair,0,9,9,Low
Cesarean section,10,8,9,Low
Hernia repair,6,22,42,High
Cesarean section,9,14,5,Mid
Cholecystectomy,9,12,35,High
Prostatectomy,10,22,23,High
Cataract surgery,1,16,11,Mid
Hernia repair,8,29,42,High
Hernia repair,0,15,22,Mid
Coronary artery bypass graft (CABG),10,27,26,High
Cesarean section,9,1,44,High
Knee arthroscopy,5,19,36,High
Prostatectomy,8,19,5,Mid
Cesarean section,0,26,0,High
Coronary artery bypass graft (CABG),3,13,5,Mid
Appendectomy,3,2,49,High
Cesarean section,8,22,21,High
Cataract surgery,10,11,40,High
Prostatectomy,4,7,23,Mid
Coronary artery bypass graft (CABG),4,1,24,Mid
Appendectomy,5,3,14,Low
Hysterectomy,0,13,25,Mid
Coronary artery bypass graft (CABG),0,15,7,Mid
Hysterectomy,8,18,50,High
Prostatectomy,2,1,23,Mid
Hernia repair,3,11,47,High
Coronary artery bypass graft (CABG),0,28,37,High
Cholecystectomy,8,13,5,Mid
Hysterectomy,7,5,34,High
Cataract surgery,1,12,41,High
Cholecystectomy,7,3,0,Low
Hip replacement,6,21,45,High
Hip replacement,10,17,35,High
Appendectomy,5,11,11,Mid
Hernia repair,0,19,37,High
Prostatectomy,6,26,10,High
Coronary artery bypass graft (CABG),9,21,11,High
Knee arthroscopy,6,29,41,High
Cataract surgery,8,20,49,High
Hysterectomy,0,18,38,High
Prostatectomy,1,7,6,Low
Cholecystectomy,10,6,10,Low
Hip replacement,8,15,35,High
Cataract surgery,8,18,30,High
Knee arthroscopy,5,5,32,High
Coronary artery bypass graft (CABG),5,19,12,Mid
Appendectomy,3,26,17,High
Knee arthroscopy,3,20,40,High
Cataract surgery,4,10,23,Mid
Knee arthroscopy,2,4,8,Low
Cataract surgery,0,15,30,High
Cataract surgery,0,6,40,High
Cesarean section,6,26,9,High
Hysterectomy,0,4,1,Low
Hip replacement,0,10,37,High
Cesarean section,2,14,14,Mid
Coronary artery bypass graft (CABG),9,2,2,Low
Cesarean section,3,25,42,High
Hernia repair,3,4,30,High
Hernia repair,1,22,5,High
Hip replacement,0,20,2,High
Knee arthroscopy,2,4,10,Low
Hysterectomy,10,8,14,Low
Hip replacement,3,14,44,High
Cataract surgery,2,2,27,Mid
Cholecystectomy,7,28,9,High
Hysterectomy,9,5,37,High
Hysterectomy,0,16,46,High
Cataract surgery,1,25,49,High
Cataract surgery,6,20,49,High
Appendectomy,3,7,6,Low
Hip replacement,7,20,14,High
Cataract surgery,10,24,17,High
Hernia repair,2,10,17,Mid
Coronary artery bypass graft (CABG),5,5,40,High
Cholecystectomy,8,7,23,Mid
Hip replacement,0,9,1,Low
Prostatectomy,0,23,39,High
Hernia repair,7,28,19,High
Knee arthroscopy,2,2,33,High
Cataract surgery,4,22,42,High
Prostatectomy,0,13,25,Mid
Cataract surgery,4,22,6,High
Hysterectomy,10,13,37,High
Hernia repair,5,9,29,Mid
Hysterectomy,7,11,41,High
Appendectomy,2,5,4,Low
Hysterectomy,2,11,10,Mid
Appendectomy,10,22,0,High
Appendectomy,10,13,33,High
Prostatectomy,9,1,0,Low
Cataract surgery,8,8,18,Low
Knee arthroscopy,3,9,1,Low
Hysterectomy,3,25,20,High
Hernia repair,6,16,19,Mid
Appendectomy,1,16,22,Mid
Cataract surgery,7,2,20,Mid
Cholecystectomy,5,29,23,High
Hip replacement,2,30,3,High
Prostatectomy,8,18,11,Mid
Knee arthroscopy,4,0,21,Mid
Cesarean section,7,11,19,Mid
Prostatectomy,6,6,17,Low
Cholecystectomy,7,3,0,Low
Hip replacement,6,9,29,Mid
Cholecystectomy,2,12,32,High
Hysterectomy,1,1,23,Mid
Appendectomy,6,9,13,Low
Knee arthroscopy,2,20,35,High
Coronary artery bypass graft (CABG),2,21,4,High
Appendectomy,1,24,10,High
Coronary artery bypass graft (CABG),3,3,23,Mid
Hip replacement,7,17,30,High
Cataract surgery,0,4,12,Low
Cesarean section,0,18,15,Mid
Hernia repair,4,1,23,Mid
Appendectomy,10,11,12,Mid
Knee arthroscopy,4,16,23,Mid
Cholecystectomy,10,9,25,Mid
Knee arthroscopy,0,1,1,Low
Hip replacement,5,5,15,Low
Coronary artery bypass graft (CABG),0,7,37,High
Cholecystectomy,4,28,45,High
Hernia repair,8,18,0,Mid
Hernia repair,4,10,48,High
Appendectomy,5,30,10,High
Hip replacement,7,24,50,High
Cataract surgery,10,30,34,High
Hip replacement,0,11,42,High
Coronary artery bypass graft (CABG),1,8,28,Mid
Knee arthroscopy,8,1,36,High
Hernia repair,2,7,16,Low
Knee arthroscopy,5,25,38,High
Knee arthroscopy,4,10,41,High
Knee arthroscopy,10,27,27,High
Hernia repair,1,20,28,High
Prostatectomy,6,3,42,High
Hysterectomy,3,9,2,Low
Coronary artery bypass graft (CABG),0,20,9,High
Prostatectomy,3,19,41,High
Coronary artery bypass graft (CABG),5,15,13,Mid
Cholecystectomy,6,7,11,Low
Hip replacement,6,3,46,High
Hip replacement,6,28,41,High
Cesarean section,2,9,29,Mid
Hip replacement,5,11,31,High
Hernia repair,7,28,31,High
Cataract surgery,3,13,41,High
Appendectomy,7,15,31,High
Cesarean section,1,21,25,High
Appendectomy,9,17,50,High
Coronary artery bypass graft (CABG),8,20,0,High
Appendectomy,8,21,41,High
Appendectomy,7,20,1,High
Cesarean section,9,11,16,Mid
Cholecystectomy,9,17,29,Mid
Knee arthroscopy,0,29,38,High
Hip replacement,1,6,6,Low
Hip replacement,5,19,26,Mid
Hernia repair,9,23,8,High
Cesarean section,4,22,21,High
Hernia repair,8,6,33,High
Cataract surgery,4,8,45,High
Cataract surgery,1,0,48,High
Hernia repair,9,25,0,High
Cesarean section,3,5,8,Low
Hernia repair,8,5,19,Low
Hip replacement,0,21,18,High
Prostatectomy,10,28,35,High
Hysterectomy,0,11,39,High
Appendectomy,6,21,44,High
Hysterectomy,10,11,3,Mid
Cesarean section,2,9,8,Low
Hysterectomy,9,22,40,High
Cataract surgery,1,29,21,High
Coronary artery bypass graft (CABG),8,25,17,High
Appendectomy,2,5,11,Low
Knee arthroscopy,1,16,41,High
Cesarean section,7,18,42,High
Appendectomy,9,17,38,High
Hysterectomy,5,5,8,Low
Cataract surgery,5,23,5,High
Cholecystectomy,9,18,18,Mid
Prostatectomy,10,9,47,High
Knee arthroscopy,6,23,46,High
Prostatectomy,6,7,6,Low
Appendectomy,10,20,15,High
Cataract surgery,5,23,4,High
Cataract surgery,3,5,15,Low
Hysterectomy,10,20,0,High
Hip replacement,8,24,50,High
Hysterectomy,5,29,36,High
Hip replacement,3,6,38,High
Hip replacement,2,23,18,High
Knee arthroscopy,3,0,36,High
Hysterectomy,2,26,16,High
Cholecystectomy,1,17,25,Mid
Hernia repair,4,23,21,High
Hernia repair,1,27,7,High
Hysterectomy,5,24,32,High
Hysterectomy,2,19,1,Mid
Prostatectomy,5,11,29,Mid
Knee arthroscopy,10,15,46,High
Hysterectomy,9,9,19,Low
Prostatectomy,8,26,17,High
Hip replacement,0,9,42,High
Cataract surgery,5,13,9,Mid
Cataract surgery,8,24,23,High
Hip replacement,10,19,3,Mid
Cesarean section,3,9,36,High
Prostatectomy,10,9,3,Low
Prostatectomy,1,25,12,High
Hip replacement,3,24,24,High
Cholecystectomy,0,10,12,Mid
Coronary artery bypass graft (CABG),2,22,17,High
Appendectomy,9,1,23,Mid
Hip replacement,8,24,1,High
Hysterectomy,9,19,47,High
Hysterectomy,4,7,32,High
Knee arthroscopy,10,29,18,High
Hip replacement,5,22,8,High
Knee arthroscopy,2,28,27,High
Hip replacement,4,30,34,High
Prostatectomy,10,6,38,High
Appendectomy,7,7,9,Low
Prostatectomy,5,0,0,Low
Coronary artery bypass graft (CABG),3,20,41,High
Cataract surgery,1,1,20,Mid
Hernia repair,8,17,8,Mid
Hip replacement,0,14,46,High
Coronary artery bypass graft (CABG),0,0,14,Low
Cataract surgery,3,4,34,High
Cesarean section,6,1,4,Low
Appendectomy,0,19,40,High
Knee arthroscopy,8,2,21,Mid
Knee arthroscopy,3,18,40,High
Prostatectomy,2,17,22,Mid
Hysterectomy,0,28,6,High
Cataract surgery,9,21,22,High
Cesarean section,3,17,43,High
Coronary artery bypass graft (CABG),8,13,24,Mid
Appendectomy,9,29,26,High
Cataract surgery,5,23,40,High
Cesarean section,5,7,5,Low
Hernia repair,0,28,33,High
Hip replacement,9,29,8,High
Knee arthroscopy,1,11,48,High
Coronary artery bypass graft (CABG),10,20,32,High
Knee arthroscopy,5,9,50,High
Coronary artery bypass graft (CABG),1,22,5,High
Prostatectomy,2,19,36,High
Hysterectomy,3,16,30,High
Coronary artery bypass graft (CABG),10,10,33,High
Knee arthroscopy,4,1,40,High
Prostatectomy,8,25,28,High
Coronary artery bypass graft (CABG),3,25,13,High
Hernia repair,10,3,35,High
Hysterectomy,8,0,35,High
Coronary artery bypass graft (CABG),10,14,14,Mid
Prostatectomy,9,12,7,Mid
Cataract surgery,2,7,25,Mid
Cholecystectomy,7,24,35,High
Cesarean section,0,3,47,High
Cholecystectomy,10,9,20,Mid
Cholecystectomy,8,18,27,Mid
Appendectomy,8,17,3,Mid
Hernia repair,9,4,15,Low
Cataract surgery,1,29,21,High
Hip replacement,3,18,11,Mid
Coronary artery bypass graft (CABG),7,25,15,High
Cesarean section,6,22,50,High
Hysterectomy,0,26,39,High
Cataract surgery,4,21,37,High
Knee arthroscopy,6,15,41,High
Hip replacement,3,0,36,High
Appendectomy,0,11,28,Mid
Appendectomy,8,23,17,High
Cataract surgery,4,1,9,Low
Prostatectomy,10,20,41,High
Cholecystectomy,1,24,38,High
Knee arthroscopy,7,7,17,Low
Appendectomy,10,17,0,Mid
Cesarean section,1,24,38,High
Appendectomy,2,15,20,Mid
Hysterectomy,9,4,0,Low
Coronary artery bypass graft (CABG),0,25,14,High
Appendectomy,10,29,3,High
Hysterectomy,1,21,19,High
Cataract surgery,6,12,9,Mid
Cataract surgery,9,18,22,Mid
Hip replacement,1,28,40,High
Appendectomy,5,2,33,High
Cesarean section,2,25,45,High
Appendectomy,3,7,47,High
Cesarean section,10,26,32,High
Hernia repair,7,25,33,High
Hip replacement,2,25,38,High
Hernia repair,9,30,9,High
Appendectomy,5,11,19,Mid
Hip replacement,0,1,0,Low
Hernia repair,6,10,12,Mid
Cholecystectomy,7,11,0,Mid
Appendectomy,10,27,4,High
Hernia repair,7,17,15,Mid
Cholecystectomy,2,12,14,Mid
Cholecystectomy,9,4,48,High
Cataract surgery,0,21,27,High
Appendectomy,8,11,30,High
Cholecystectomy,5,1,22,Mid
Cataract surgery,10,30,47,High
Hernia repair,8,4,44,High
Hysterectomy,6,6,42,High
Appendectomy,0,25,16,High
Hip replacement,0,25,48,High
Cesarean section,5,23,33,High
Cesarean section,4,11,12,Mid
Hernia repair,8,15,13,Mid
Prostatectomy,1,22,10,High
Prostatectomy,7,7,27,Mid
Hernia repair,10,29,41,High
Cholecystectomy,4,27,31,High
Appendectomy,1,8,34,High
Cesarean section,9,14,30,High
Cesarean section,10,4,16,Low
Cholecystectomy,10,12,46,High
Cesarean section,5,4,8,Low
Hip replacement,9,10,9,Mid
Appendectomy,7,9,7,Low
Coronary artery bypass graft (CABG),3,19,20,Mid
Cesarean section,1,12,12,Mid
Hernia repair,10,8,49,High
Hip replacement,4,20,4,High
Cesarean section,1,13,5,Mid
Hip replacement,1,17,29,Mid
Cataract surgery,5,14,30,High
Coronary artery bypass graft (CABG),10,9,16,Low
Knee arthroscopy,9,23,10,High
Hernia repair,8,30,19,High
Hernia repair,3,6,47,High
Appendectomy,5,7,8,Low
Hip replacement,6,27,1,High
Cholecystectomy,10,2,36,High
Hernia repair,5,30,0,High
Hip replacement,7,14,3,Mid
Hip replacement,3,15,35,High
Hysterectomy,0,3,24,Mid
Hysterectomy,6,20,2,High
Knee arthroscopy,2,5,8,Low
Cataract surgery,5,0,21,Mid
Knee arthroscopy,1,3,22,Mid
Cesarean section,8,10,11,Mid
Cholecystectomy,0,11,9,Mid
Cesarean section,5,25,33,High
Prostatectomy,5,28,42,High
Cesarean section,4,4,9,Low
Appendectomy,4,22,29,High
Cesarean section,0,28,21,High
Knee arthroscopy,9,20,5,High
Hernia repair,4,15,49,High
Hernia repair,1,12,1,Mid
Hysterectomy,6,12,29,Mid
Cholecystectomy,2,16,1,Mid
Cholecystectomy,3,26,31,High
Appendectomy,2,6,41,High
Knee arthroscopy,2,7,15,Low
Hysterectomy,3,12,11,Mid
Prostatectomy,4,22,0,High
Cholecystectomy,0,26,7,High
Hernia repair,3,15,47,High
Cesarean section,10,29,49,High
Cesarean section,7,28,12,High
Hysterectomy,9,30,14,High
Knee arthroscopy,6,3,43,High
Knee arthroscopy,8,7,7,Low
Cataract surgery,4,15,9,Mid
Coronary artery bypass graft (CABG),9,30,45,High
Cholecystectomy,3,20,4,High
Knee arthroscopy,7,9,49,High
Hernia repair,8,24,18,High
Hysterectomy,6,11,46,High
Prostatectomy,6,11,37,High
Cataract surgery,4,25,10,High
Hip replacement,3,4,42,High
Appendectomy,9,15,19,Mid
Prostatectomy,0,0,19,Low
Hip replacement,9,27,20,High
Cesarean section,9,8,17,Low
Appendectomy,6,11,49,High
Cholecystectomy,0,4,9,Low
Hernia repair,0,21,33,High
Appendectomy,4,19,25,Mid
Coronary artery bypass graft (CABG),8,21,29,High
Hip replacement,5,27,8,High
Cholecystectomy,2,23,45,High
Coronary artery bypass graft (CABG),2,2,50,High
Cesarean section,6,4,30,High
Coronary artery bypass graft (CABG),5,1,41,High
Cataract surgery,8,13,3,Mid
Cataract surgery,5,1,5,Low
Hysterectomy,4,12,13,Mid
Prostatectomy,9,6,3,Low
Prostatectomy,6,9,25,Mid
Cholecystectomy,0,12,46,High
Cesarean section,6,15,47,High
Knee arthroscopy,2,25,38,High
Cataract surgery,8,13,16,Mid
Cholecystectomy,5,10,18,Mid
Knee arthroscopy,8,9,50,High
Prostatectomy,4,5,48,High
Hysterectomy,6,3,5,Low
Coronary artery bypass graft (CABG),3,20,28,High
Cataract surgery,6,0,10,Low
Cholecystectomy,0,6,15,Low
Appendectomy,6,23,29,High
Knee arthroscopy,7,8,24,Mid
Coronary artery bypass graft (CABG),4,7,39,High
Cataract surgery,1,4,10,Low
Prostatectomy,4,18,6,Mid
Cesarean section,5,9,25,Mid
Knee arthroscopy,1,10,21,Mid
Prostatectomy,5,24,24,High
Cataract surgery,5,14,18,Mid
Knee arthroscopy,0,5,30,High
Coronary artery bypass graft (CABG),0,14,25,Mid
Cataract surgery,10,4,41,High
Hip replacement,9,28,40,High
Cholecystectomy,2,18,35,High
Coronary artery bypass graft (CABG),9,21,22,High
Knee arthroscopy,9,18,46,High
Cesarean section,2,9,12,Low
Prostatectomy,3,11,24,Mid
Appendectomy,1,21,1,High
Prostatectomy,8,3,1,Low
Knee arthroscopy,9,30,15,High
Prostatectomy,10,17,8,Mid
Cholecystectomy,6,15,27,Mid
Cataract surgery,6,7,12,Low
Appendectomy,5,3,34,High
Hernia repair,2,24,40,High
Knee arthroscopy,5,22,12,High
Hysterectomy,7,11,30,High
Hernia repair,7,1,20,Mid
Prostatectomy,10,3,31,High
Knee arthroscopy,8,4,33,High
Hip replacement,0,2,7,Low
Hysterectomy,0,8,40,High
Appendectomy,2,28,47,High
Cesarean section,2,20,1,High
Hip replacement,9,17,37,High
Hernia repair,7,10,31,High
Cataract surgery,9,2,39,High
Cholecystectomy,0,29,27,High
Cesarean section,1,30,36,High
Hip replacement,1,24,40,High
Cataract surgery,2,22,0,High
Cataract surgery,5,1,40,High
Knee arthroscopy,0,8,9,Low
Hip replacement,1,13,3,Mid
Appendectomy,0,3,34,High
Prostatectomy,4,28,9,High
Hysterectomy,6,8,46,High
Hysterectomy,7,30,10,High
Hernia repair,9,12,13,Mid
Hernia repair,0,17,37,High
Hysterectomy,6,14,11,Mid
Appendectomy,4,27,44,High
Cholecystectomy,9,9,16,Low
Coronary artery bypass graft (CABG),0,15,15,Mid
Prostatectomy,2,11,34,High
Cholecystectomy,6,19,1,Mid
Knee arthroscopy,9,4,10,Low
Coronary artery bypass graft (CABG),0,1,40,High
Coronary artery bypass graft (CABG),6,9,2,Low
Hip replacement,4,0,28,Mid
Appendectomy,0,6,17,Low
Appendectomy,0,25,19,High
Coronary artery bypass graft (CABG),0,16,46,High
Hip replacement,10,15,13,Mid
Prostatectomy,8,26,33,High
Coronary artery bypass graft (CABG),10,26,48,High
Cesarean section,2,23,30,High
Hernia repair,4,2,39,High
Hernia repair,10,13,41,High
Cholecystectomy,9,9,17,Low
Knee arthroscopy,8,21,29,High
Hernia repair,5,6,24,Mid
Cataract surgery,8,25,18,High
Cholecystectomy,7,16,7,Mid
Hernia repair,7,29,27,High
Knee arthroscopy,0,5,7,Low
Appendectomy,8,22,30,High
Appendectomy,5,21,2,High
Prostatectomy,8,3,2,Low
Coronary artery bypass graft (CABG),2,16,43,High
Cesarean section,2,26,21,High
Appendectomy,5,8,16,Low
Hip replacement,8,3,35,High
Hernia repair,6,6,16,Low
Hip replacement,2,22,13,High
Knee arthroscopy,2,1,50,High
Appendectomy,1,16,8,Mid
Cesarean section,8,23,29,High
Knee arthroscopy,2,7,20,Mid
Cataract surgery,10,22,11,High
Cataract surgery,4,29,36,High
Hip replacement,8,30,31,High
Coronary artery bypass graft (CABG),7,14,10,Mid
Cholecystectomy,1,30,19,High
Coronary artery bypass graft (CABG),2,14,34,High
Prostatectomy,1,7,46,High
Coronary artery bypass graft (CABG),7,15,45,High
Prostatectomy,5,18,10,Mid
Prostatectomy,5,10,7,Mid
Cesarean section,8,1,3,Low
Appendectomy,7,22,26,High
Cesarean section,3,23,43,High
Prostatectomy,3,16,39,High
Knee arthroscopy,8,27,37,High
Cataract surgery,0,25,46,High
Prostatectomy,1,15,29,Mid
Cesarean section,1,24,43,High
Knee arthroscopy,5,14,47,High
Cesarean section,3,12,47,High
Coronary artery bypass graft (CABG),10,14,26,Mid
Hernia repair,9,26,20,High
Hip replacement,2,3,19,Low
Cholecystectomy,2,15,3,Mid
Cesarean section,2,29,10,High
Cholecystectomy,5,11,12,Mid
Hysterectomy,7,29,8,High
Cesarean section,10,3,3,Low
Hernia repair,6,2,11,Low
Cholecystectomy,3,21,8,High
Prostatectomy,10,16,12,Mid
Cesarean section,3,21,47,High
Appendectomy,10,17,25,Mid
Hip replacement,9,24,37,High
Hernia repair,10,17,41,High
Cholecystectomy,10,22,12,High
Hernia repair,10,27,38,High
Knee arthroscopy,1,16,27,Mid
Hip replacement,0,11,18,Mid
Prostatectomy,8,22,23,High
Cesarean section,1,20,18,High
Cesarean section,7,23,48,High
Cesarean section,8,3,12,Low
Hip replacement,3,30,12,High
Appendectomy,7,11,27,Mid
Hysterectomy,8,30,1,High
Cataract surgery,9,25,9,High
Coronary artery bypass graft (CABG),9,22,21,High
Cholecystectomy,4,21,12,High
Appendectomy,6,20,8,High
Prostatectomy,9,19,32,High
Cholecystectomy,3,14,13,Mid
Cesarean section,0,22,47,High
Hernia repair,2,27,19,High
Prostatectomy,4,15,14,Mid
Cholecystectomy,2,4,31,High
Cesarean section,10,20,32,High
Cholecystectomy,6,14,16,Mid
Hernia repair,8,16,23,Mid
Cesarean section,5,17,29,Mid
Hysterectomy,9,4,12,Low
Appendectomy,0,12,46,High
Knee arthroscopy,6,18,47,High
Coronary artery bypass graft (CABG),2,29,15,High
Hip replacement,4,12,1,Mid
Coronary artery bypass graft (CABG),9,17,16,Mid
Prostatectomy,3,13,31,High
Coronary artery bypass graft (CABG),9,29,42,High
Cesarean section,4,3,7,Low
Hysterectomy,4,3,2,Low
Knee arthroscopy,5,19,11,Mid
Appendectomy,9,19,19,Mid
Appendectomy,9,18,15,Mid
Hernia repair,10,12,13,Mid
Hip replacement,5,11,15,Mid
Cholecystectomy,7,6,48,High
Hysterectomy,7,24,42,High
Cholecystectomy,10,11,48,High
Knee arthroscopy,8,20,50,High
Coronary artery bypass graft (CABG),7,3,32,High
Appendectomy,10,26,29,High
Knee arthroscopy,1,1,11,Low
Coronary artery bypass graft (CABG),9,1,14,Low
Appendectomy,10,4,17,Low
Coronary artery bypass graft (CABG),0,22,27,High
Hip replacement,9,9,22,Mid
Hysterectomy,1,9,13,Low
Prostatectomy,1,8,29,Mid
Knee arthroscopy,2,12,32,High
Knee arthroscopy,9,6,44,High
Cataract surgery,6,4,14,Low
Cesarean section,1,25,6,High
Hip replacement,0,9,14,Low
Hip replacement,5,9,41,High
Cholecystectomy,8,5,45,High
Coronary artery bypass graft (CABG),2,26,37,High
Cesarean section,5,27,45,High
Hysterectomy,2,18,43,High
Hysterectomy,0,20,10,High
Hip replacement,4,7,28,Mid
Hysterectomy,9,0,30,High
Cataract surgery,10,27,24,High
Knee arthroscopy,3,16,23,Mid
Hernia repair,6,6,18,Low
Prostatectomy,5,13,1,Mid
Cholecystectomy,9,20,21,High
Coronary artery bypass graft (CABG),6,29,19,High
Prostatectomy,4,20,32,High
Coronary artery bypass graft (CABG),3,16,7,Mid
Appendectomy,6,8,24,Mid
Prostatectomy,6,16,45,High
Hernia repair,5,4,8,Low
Hip replacement,7,25,33,High
Cataract surgery,3,24,22,High
Knee arthroscopy,9,29,4,High
Knee arthroscopy,4,30,24,High
Cataract surgery,3,19,7,Mid
Cesarean section,0,28,15,High
Appendectomy,7,7,47,High
Coronary artery bypass graft (CABG),0,5,44,High
Hernia repair,4,10,14,Mid
Hysterectomy,5,30,0,High
Prostatectomy,5,18,21,Mid
Appendectomy,4,3,2,Low
Prostatectomy,2,17,37,High
Hernia repair,4,0,13,Low
Cholecystectomy,7,12,35,High
Cholecystectomy,1,13,17,Mid
Appendectomy,5,23,46,High
Hip replacement,8,0,40,High
Hernia repair,7,29,17,High
Hernia repair,10,28,2,High
Cataract surgery,7,10,9,Mid
Hip replacement,7,16,48,High
Coronary artery bypass graft (CABG),6,3,38,High
Coronary artery bypass graft (CABG),7,25,46,High
Hysterectomy,5,11,0,Mid
Knee arthroscopy,1,9,26,Mid
Cholecystectomy,1,30,26,High
Coronary artery bypass graft (CABG),7,5,10,Low
Hip replacement,10,24,48,High
Hernia repair,0,0,4,Low
Coronary artery bypass graft (CABG),5,6,6,Low
Hernia repair,5,25,18,High
Coronary artery bypass graft (CABG),10,26,28,High
Cholecystectomy,3,20,14,High
Prostatectomy,10,27,34,High
Coronary artery bypass graft (CABG),10,30,46,High
Hip replacement,9,15,36,High
Coronary artery bypass graft (CABG),2,23,11,High
Knee arthroscopy,10,13,29,Mid
Cholecystectomy,2,22,19,High
Hip replacement,0,19,36,High
Cataract surgery,2,19,2,Mid
Hip replacement,3,5,8,Low
Knee arthroscopy,10,21,40,High
Prostatectomy,10,24,38,High
Cholecystectomy,4,27,25,High
Cataract surgery,2,4,1,Low
Knee arthroscopy,5,23,22,High
Knee arthroscopy,10,20,22,High
Appendectomy,4,17,20,Mid
Cholecystectomy,2,14,15,Mid
Hip replacement,5,5,8,Low
Hernia repair,5,24,12,High
Prostatectomy,7,28,27,High
Hernia repair,1,18,26,Mid
Hip replacement,0,0,50,High
Hip replacement,3,0,16,Low
Cholecystectomy,6,12,37,High
Hip replacement,10,2,35,High
Appendectomy,9,9,0,Low
Cataract surgery,2,20,17,High
Hip replacement,2,2,50,High
Hernia repair,4,8,8,Low
Hip replacement,4,7,12,Low
Appendectomy,9,2,39,High
Coronary artery bypass graft (CABG),2,24,44,High
Coronary artery bypass graft (CABG),8,30,14,High
Knee arthroscopy,3,12,42,High
Prostatectomy,2,5,43,High
Hysterectomy,10,12,45,High
Cataract surgery,1,22,3,High
Cesarean section,9,19,32,High
Knee arthroscopy,10,19,23,Mid
Prostatectomy,8,11,35,High
Coronary artery bypass graft (CABG),3,12,50,High
Hernia repair,2,1,40,High
Cesarean section,6,20,9,High
Prostatectomy,7,23,35,High
Prostatectomy,10,22,19,High
Knee arthroscopy,1,15,40,High
Cesarean section,6,22,44,High
Cholecystectomy,4,5,43,High
Hysterectomy,10,18,10,Mid
Cholecystectomy,4,20,11,High
Cesarean section,2,12,17,Mid
Cholecystectomy,4,16,29,Mid
Appendectomy,1,22,43,High
Coronary artery bypass graft (CABG),3,8,47,High
Appendectomy,5,16,36,High
Hip replacement,0,28,19,High
Cholecystectomy,9,1,24,Mid
Hip replacement,3,18,11,Mid
Hernia repair,5,18,20,Mid
Cataract surgery,8,23,24,High
Hernia repair,10,6,10,Low
Cesarean section,10,21,8,High
Prostatectomy,1,30,49,High
Coronary artery bypass graft (CABG),10,9,24,Mid
Cholecystectomy,6,9,34,High
Knee arthroscopy,5,26,31,High
Cataract surgery,1,19,48,High
