Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR
Hysterectomy,7,8,13,Low
Hysterectomy,6,16,0,Mid
Hysterectomy,10,26,16,High
Cholecystectomy,4,14,24,Mid
Hysterectomy,4,1,7,Low
Appendectomy,6,30,4,High
Cataract surgery,8,29,4,High
Appendectomy,10,3,40,High
Prostatectomy,8,18,34,High
Cataract surgery,8,16,18,Mid
Appendectomy,5,4,22,Mid
Cataract surgery,9,6,8,Low
Prostatectomy,5,17,29,Mid
Hip replacement,2,20,49,High
Cholecystectomy,0,21,15,High
Cholecystectomy,6,26,32,High
Hysterectomy,3,6,1,Low
Hernia repair,0,16,13,Mid
Hysterectomy,7,6,45,High
Cesarean section,5,3,0,Low
Appendectomy,5,7,25,Mid
Cataract surgery,1,12,24,Mid
Hernia repair,0,3,15,Low
Prostatectomy,1,5,14,Low
Cesarean section,3,24,25,High
Prostatectomy,1,4,46,High
Cholecystectomy,0,29,43,High
Cholecystectomy,6,11,15,Mid
Hysterectomy,10,3,13,Low
Appendectomy,10,23,28,High
Hernia repair,7,28,23,High
Coronary artery bypass graft (CABG),5,8,46,High
Cesarean section,3,3,14,Low
Cesarean section,5,18,18,Mid
Hysterectomy,2,23,7,High
Cholecystectomy,7,13,33,High
Hysterectomy,9,4,1,Low
Cataract surgery,1,17,26,Mid
Hernia repair,4,9,9,Low
Appendectomy,0,24,34,High
Hip replacement,5,18,22,Mid
Knee arthroscopy,1,11,48,High
Knee arthroscopy,3,17,7,Mid
Hysterectomy,5,16,27,Mid
Cataract surgery,9,29,22,High
Hernia repair,10,23,3,High
Coronary artery bypass graft (CABG),7,10,13,Mid
Knee arthroscopy,7,2,41,High
Hernia repair,10,22,28,High
Appendectomy,5,16,0,Mid
Prostatectomy,3,0,3,Low
Cataract surgery,7,14,31,High
Cholecystectomy,7,27,32,High
Hernia repair,9,8,48,High
Appendectomy,0,14,25,Mid
Coronary artery bypass graft (CABG),3,27,16,High
Hip replacement,3,23,38,High
Cholecystectomy,6,27,22,High
Hip replacement,10,28,31,High
Coronary artery bypass graft (CABG),6,2,14,Low
Appendectomy,10,21,12,High
Knee arthroscopy,7,26,1,High
Hip replacement,10,18,18,Mid
Cholecystectomy,4,12,23,Mid
Hysterectomy,6,11,44,High
Cesarean section,7,19,23,Mid
Hernia repair,8,0,10,Low
Knee arthroscopy,2,20,21,High
Hip replacement,2,16,14,Mid
Prostatectomy,3,12,9,Mid
Hernia repair,4,0,40,High
Hysterectomy,9,9,26,Mid
Coronary artery bypass graft (CABG),0,14,8,Mid
Cesarean section,6,26,27,High
Appendectomy,8,26,0,High
Hysterectomy,7,29,16,High
Hysterectomy,4,6,30,High
Coronary artery bypass graft (CABG),3,27,43,High
Cataract surgery,6,21,9,High
Coronary artery bypass graft (CABG),4,17,36,High
Cataract surgery,6,15,28,Mid
Cataract surgery,0,13,17,Mid
Knee arthroscopy,0,26,46,High
Knee arthroscopy,9,27,37,High
Cholecystectomy,2,17,38,High
Hip replacement,10,26,48,High
Hip replacement,1,6,5,Low
Appendectomy,1,16,39,High
Hip replacement,6,28,11,High
Knee arthroscopy,9,17,13,Mid
Cholecystectomy,1,11,43,High
Cholecystectomy,10,7,9,Low
Cataract surgery,3,21,19,High
Coronary artery bypass graft (CABG),1,30,14,High
Appendectomy,5,29,30,High
Cataract surgery,7,1,6,Low
Coronary artery bypass graft (CABG),9,6,40,High
Hip replacement,3,3,9,Low
Cataract surgery,4,17,9,Mid
Hernia repair,3,27,47,High
Hip replacement,2,5,38,High
Coronary artery bypass graft (CABG),4,26,27,High
Appendectomy,8,30,29,High
Coronary artery bypass graft (CABG),7,8,36,High
Cataract surgery,7,26,2,High
Cataract surgery,7,8,49,High
Hysterectomy,7,13,42,High
Appendectomy,6,7,14,Low
Prostatectomy,7,30,20,High
Hip replacement,10,18,36,High
Cholecystectomy,7,2,11,Low
Appendectomy,7,17,3,Mid
Cholecystectomy,9,4,46,High
Appendectomy,6,13,8,Mid
Appendectomy,0,27,38,High
Coronary artery bypass graft (CABG),3,29,41,High
Appendectomy,3,3,27,Mid
Hysterectomy,4,6,22,Mid
Prostatectomy,9,19,44,High
Cataract surgery,5,24,39,High
Cesarean section,3,27,43,High
Cholecystectomy,1,11,21,Mid
Cataract surgery,5,1,23,Mid
Cesarean section,7,10,50,High
Prostatectomy,7,13,25,Mid
Prostatectomy,6,21,29,High
Cholecystectomy,5,30,32,High
Cholecystectomy,1,22,15,High
Prostatectomy,6,15,21,Mid
Cesarean section,10,19,48,High
Appendectomy,4,28,49,High
Hip replacement,5,5,42,High
Hernia repair,9,22,17,High
Cataract surgery,7,3,6,Low
Coronary artery bypass graft (CABG),7,14,49,High
Cataract surgery,2,23,25,High
Coronary artery bypass graft (CABG),6,24,7,High
Cesarean section,0,0,5,Low
Coronary artery bypass graft (CABG),0,6,29,Mid
Cholecystectomy,6,24,38,High
Hip replacement,9,30,22,High
Hip replacement,8,11,31,High
Cholecystectomy,6,9,21,Mid
Hysterectomy,9,4,41,High
Cesarean section,4,11,42,High
Hysterectomy,7,17,44,High
Hysterectomy,1,9,8,Low
Cataract surgery,8,5,30,High
Prostatectomy,5,27,6,High
Cataract surgery,8,11,8,Mid
Prostatectomy,1,6,12,Low
Hernia repair,2,17,2,Mid
Coronary artery bypass graft (CABG),7,1,34,High
Prostatectomy,0,9,32,High
Cholecystectomy,9,14,20,Mid
Cataract surgery,6,29,30,High
Cesarean section,6,11,33,High
Coronary artery bypass graft (CABG),0,25,31,High
Hernia repair,8,16,34,High
Prostatectomy,7,3,14,Low
Hernia repair,3,6,31,High
Cesarean section,9,29,5,High
Hysterectomy,10,8,44,High
Hip replacement,4,30,20,High
Cesarean section,1,18,32,High
Knee arthroscopy,8,27,31,High
Cesarean section,5,26,18,High
Hernia repair,2,22,32,High
Cholecystectomy,6,6,27,Mid
Cataract surgery,8,22,30,High
Cholecystectomy,2,1,20,Mid
Hernia repair,1,5,33,High
Cataract surgery,6,17,14,Mid
Knee arthroscopy,6,5,13,Low
Hip replacement,3,12,18,Mid
Coronary artery bypass graft (CABG),10,25,42,High
Hernia repair,8,18,14,Mid
Prostatectomy,7,29,5,High
Hernia repair,0,1,8,Low
Hernia repair,0,11,36,High
Cataract surgery,4,14,19,Mid
Appendectomy,5,13,33,High
Cesarean section,2,5,37,High
Appendectomy,8,17,25,Mid
Knee arthroscopy,9,4,17,Low
Prostatectomy,5,17,27,Mid
Hip replacement,3,2,50,High
Hysterectomy,6,2,8,Low
Knee arthroscopy,7,21,31,High
Hysterectomy,8,21,5,High
Hysterectomy,10,9,13,Low
Hip replacement,5,18,27,Mid
Cholecystectomy,5,2,23,Mid
Appendectomy,7,28,12,High
Hernia repair,4,11,42,High
Coronary artery bypass graft (CABG),2,28,11,High
Hysterectomy,2,15,50,High
Prostatectomy,5,16,18,Mid
Knee arthroscopy,1,6,20,Mid
Cholecystectomy,5,12,26,Mid
Hysterectomy,5,23,18,High
Cholecystectomy,7,1,23,Mid
Cholecystectomy,6,3,25,Mid
Hysterectomy,7,9,44,High
Cataract surgery,8,6,27,Mid
Cesarean section,5,23,45,High
Prostatectomy,2,16,17,Mid
Hernia repair,9,19,43,High
Hernia repair,2,5,35,High
Prostatectomy,10,18,41,High
Cataract surgery,0,4,28,Mid
Hernia repair,10,9,16,Low
Cholecystectomy,4,8,3,Low
Hip replacement,3,26,43,High
Knee arthroscopy,8,12,44,High
Appendectomy,8,18,28,Mid
Hernia repair,4,20,3,High
Prostatectomy,9,23,9,High
Hip replacement,3,5,24,Mid
Hysterectomy,6,3,30,High
Cesarean section,5,23,2,High
Prostatectomy,3,26,46,High
Cholecystectomy,9,2,1,Low
Cesarean section,1,2,24,Mid
Knee arthroscopy,0,3,48,High
Knee arthroscopy,3,24,5,High
Cataract surgery,3,4,25,Mid
Coronary artery bypass graft (CABG),0,7,7,Low
Cataract surgery,5,15,34,High
Hip replacement,3,21,26,High
Cesarean section,0,2,24,Mid
Coronary artery bypass graft (CABG),0,30,17,High
Hysterectomy,0,23,0,High
Cholecystectomy,7,11,47,High
Cesarean section,9,24,38,High
Cataract surgery,7,7,2,Low
Appendectomy,1,12,3,Mid
Coronary artery bypass graft (CABG),10,3,40,High
Coronary artery bypass graft (CABG),6,13,36,High
Cholecystectomy,7,13,50,High
Hernia repair,7,12,14,Mid
Knee arthroscopy,10,26,7,High
Knee arthroscopy,9,5,37,High
Appendectomy,10,16,49,High
Hip replacement,6,3,18,Low
Hip replacement,4,7,46,High
Hysterectomy,0,16,25,Mid
Cesarean section,8,2,38,High
Prostatectomy,6,16,9,Mid
Hernia repair,1,8,37,High
Cataract surgery,5,1,13,Low
Prostatectomy,1,24,48,High
Prostatectomy,0,12,40,High
Coronary artery bypass graft (CABG),6,19,18,Mid
Appendectomy,1,1,29,Mid
Knee arthroscopy,1,19,4,Mid
Hysterectomy,10,27,30,High
Hip replacement,4,10,6,Mid
Appendectomy,4,26,18,High
Coronary artery bypass graft (CABG),6,25,30,High
Cataract surgery,0,21,38,High
Hysterectomy,7,14,23,Mid
Coronary artery bypass graft (CABG),2,10,33,High
Knee arthroscopy,3,22,22,High
Knee arthroscopy,8,2,47,High
Knee arthroscopy,3,2,44,High
Appendectomy,9,27,39,High
Appendectomy,4,25,5,High
Hip replacement,6,11,37,High
Hip replacement,3,23,40,High
Cataract surgery,0,4,35,High
Hysterectomy,8,19,26,Mid
Cholecystectomy,3,6,10,Low
Cholecystectomy,8,6,4,Low
Coronary artery bypass graft (CABG),5,12,16,Mid
Knee arthroscopy,0,8,6,Low
Hysterectomy,2,24,26,High
Prostatectomy,10,20,46,High
Appendectomy,1,12,14,Mid
Cesarean section,8,11,45,High
Hernia repair,0,12,12,Mid
Cataract surgery,8,23,10,High
Knee arthroscopy,8,9,44,High
Knee arthroscopy,7,0,25,Mid
Knee arthroscopy,7,24,21,High
Appendectomy,10,7,27,Mid
Appendectomy,0,21,23,High
Hernia repair,10,15,28,Mid
Prostatectomy,7,12,8,Mid
Hysterectomy,9,2,41,High
Knee arthroscopy,2,2,3,Low
Cholecystectomy,10,23,48,High
Hip replacement,6,4,45,High
Cholecystectomy,10,25,17,High
Coronary artery bypass graft (CABG),0,10,42,High
Cholecystectomy,0,29,15,High
Coronary artery bypass graft (CABG),9,6,32,High
Cesarean section,4,20,28,High
Hip replacement,4,23,38,High
Cholecystectomy,7,9,9,Low
Cesarean section,6,9,8,Low
Cataract surgery,7,19,30,High
Hysterectomy,5,1,27,Mid
Cesarean section,5,2,2,Low
Hysterectomy,1,7,13,Low
Cholecystectomy,5,30,24,High
Prostatectomy,4,10,14,Mid
Cesarean section,2,12,1,Mid
Hip replacement,5,6,23,Mid
Cholecystectomy,7,12,13,Mid
Knee arthroscopy,8,1,47,High
Appendectomy,0,5,6,Low
Cesarean section,2,8,35,High
Hip replacement,2,30,49,High
Cataract surgery,10,19,23,Mid
Knee arthroscopy,7,24,26,High
Cataract surgery,0,1,36,High
Cholecystectomy,4,17,37,High
Appendectomy,2,15,29,Mid
Cesarean section,1,24,26,High
Cesarean section,7,11,38,High
Prostatectomy,2,6,14,Low
Prostatectomy,6,6,25,Mid
Cholecystectomy,10,16,0,Mid
Cholecystectomy,0,12,3,Mid
Appendectomy,5,10,28,Mid
Prostatectomy,2,5,0,Low
Hip replacement,7,28,42,High
Hip replacement,5,22,49,High
Appendectomy,1,26,45,High
Hip replacement,5,13,21,Mid
Coronary artery bypass graft (CABG),6,5,10,Low
Hysterectomy,4,5,9,Low
Appendectomy,2,1,16,Low
Appendectomy,3,21,35,High
Hernia repair,3,19,46,High
Knee arthroscopy,5,24,25,High
Knee arthroscopy,9,14,47,High
Coronary artery bypass graft (CABG),0,27,20,High
Prostatectomy,10,16,12,Mid
Cholecystectomy,3,28,8,High
Cholecystectomy,9,7,10,Low
Cataract surgery,3,4,10,Low
Coronary artery bypass graft (CABG),9,16,5,Mid
Appendectomy,0,19,0,Mid
Coronary artery bypass graft (CABG),8,0,5,Low
Coronary artery bypass graft (CABG),3,21,12,High
Coronary artery bypass graft (CABG),6,17,21,Mid
Knee arthroscopy,2,14,30,High
Coronary artery bypass graft (CABG),9,4,21,Mid
Hysterectomy,2,6,36,High
Cholecystectomy,7,17,46,High
Cataract surgery,7,5,26,Mid
Hysterectomy,10,21,49,High
Cataract surgery,0,20,13,High
Hernia repair,9,4,46,High
Cataract surgery,1,29,4,High
Cholecystectomy,7,18,35,High
Cholecystectomy,0,30,31,High
Coronary artery bypass graft (CABG),7,9,33,High
Cesarean section,7,14,6,Mid
Hernia repair,1,9,41,High
Appendectomy,3,26,47,High
Hip replacement,5,15,9,Mid
Cataract surgery,10,11,49,High
Cesarean section,8,17,16,Mid
Coronary artery bypass graft (CABG),7,22,29,High
Knee arthroscopy,7,0,20,Mid
Appendectomy,6,15,12,Mid
Prostatectomy,8,21,0,High
Cesarean section,1,5,0,Low
Knee arthroscopy,2,2,46,High
Hernia repair,9,1,32,High
Coronary artery bypass graft (CABG),7,27,37,High
Appendectomy,5,1,24,Mid
Appendectomy,9,29,25,High
Appendectomy,8,12,12,Mid
Hernia repair,9,8,27,Mid
Cataract surgery,3,15,32,High
Prostatectomy,7,26,36,High
Hernia repair,9,4,40,High
Hip replacement,2,22,29,High
Prostatectomy,2,27,48,High
Cholecystectomy,7,20,47,High
Coronary artery bypass graft (CABG),4,6,7,Low
Hernia repair,2,12,48,High
Knee arthroscopy,9,19,46,High
Prostatectomy,10,23,0,High
Hip replacement,0,28,11,High
Cholecystectomy,2,26,4,High
Cataract surgery,8,29,23,High
Knee arthroscopy,4,25,5,High
Prostatectomy,9,12,24,Mid
Coronary artery bypass graft (CABG),1,26,0,High
Knee arthroscopy,6,25,24,High
Cholecystectomy,1,6,0,Low
Knee arthroscopy,3,9,31,High
Hysterectomy,6,14,41,High
Cesarean section,3,20,41,High
Cataract surgery,6,26,2,High
Cholecystectomy,6,5,48,High
Knee arthroscopy,0,4,18,Low
Cesarean section,5,22,42,High
Cesarean section,8,27,28,High
Knee arthroscopy,1,1,49,High
Coronary artery bypass graft (CABG),2,20,1,High
Hysterectomy,9,14,8,Mid
Hernia repair,4,25,16,High
Hysterectomy,8,15,45,High
Knee arthroscopy,3,30,35,High
Cataract surgery,0,18,16,Mid
Hernia repair,3,8,48,High
Cholecystectomy,5,28,11,High
Hysterectomy,4,21,19,High
Knee arthroscopy,0,28,49,High
Hysterectomy,3,25,2,High
Hernia repair,5,18,42,High
Hip replacement,9,6,49,High
Prostatectomy,9,3,3,Low
Hysterectomy,3,29,16,High
Cholecystectomy,8,2,49,High
Cholecystectomy,4,23,36,High
Appendectomy,7,28,45,High
Hysterectomy,8,19,41,High
Prostatectomy,9,10,14,Mid
Coronary artery bypass graft (CABG),4,0,32,High
Cesarean section,5,5,15,Low
Prostatectomy,0,25,10,High
Cesarean section,10,10,19,Mid
Cesarean section,6,26,37,High
Hip replacement,3,0,23,Mid
Appendectomy,10,20,15,High
Prostatectomy,1,6,29,Mid
Prostatectomy,4,30,33,High
Hip replacement,2,5,0,Low
Hysterectomy,5,13,23,Mid
Hysterectomy,7,1,23,Mid
Hysterectomy,6,26,8,High
Cataract surgery,2,3,21,Mid
Cesarean section,7,10,11,Mid
Cataract surgery,1,14,16,Mid
Appendectomy,9,17,24,Mid
Hip replacement,8,26,27,High
Prostatectomy,3,0,14,Low
Cesarean section,0,30,29,High
Cataract surgery,7,2,50,High
Cataract surgery,6,2,26,Mid
Knee arthroscopy,10,30,21,High
Cataract surgery,4,27,9,High
Coronary artery bypass graft (CABG),9,6,30,High
Prostatectomy,4,0,26,Mid
Coronary artery bypass graft (CABG),6,24,11,High
Prostatectomy,4,10,45,High
Hip replacement,7,5,30,High
Prostatectomy,10,19,31,High
Coronary artery bypass graft (CABG),5,2,31,High
Prostatectomy,4,30,40,High
Hip replacement,8,18,44,High
Hip replacement,10,1,34,High
Appendectomy,1,17,45,High
Prostatectomy,0,29,20,High
Knee arthroscopy,7,11,9,Mid
Hysterectomy,2,28,15,High
Cholecystectomy,10,9,6,Low
Hip replacement,6,4,3,Low
Hernia repair,9,8,26,Mid
Hysterectomy,10,1,24,Mid
Cesarean section,7,1,30,High
Prostatectomy,5,27,10,High
Coronary artery bypass graft (CABG),9,5,47,High
Cholecystectomy,8,28,19,High
Hernia repair,6,30,35,High
Hysterectomy,9,9,16,Low
Prostatectomy,4,17,44,High
Appendectomy,7,11,10,Mid
Cesarean section,1,3,29,Mid
Cholecystectomy,6,21,34,High
Knee arthroscopy,3,20,40,High
Appendectomy,8,16,37,High
Hernia repair,0,14,21,Mid
Cholecystectomy,6,5,42,High
Appendectomy,5,15,47,High
Cesarean section,7,16,50,High
Knee arthroscopy,4,2,26,Mid
Appendectomy,0,9,36,High
Cataract surgery,0,4,45,High
Knee arthroscopy,8,13,48,High
Hernia repair,9,25,34,High
Cesarean section,5,28,3,High
Prostatectomy,9,20,15,High
Coronary artery bypass graft (CABG),4,12,15,Mid
Coronary artery bypass graft (CABG),0,25,20,High
Coronary artery bypass graft (CABG),5,5,25,Mid
Cholecystectomy,5,30,35,High
Hernia repair,2,11,18,Mid
Cesarean section,7,25,16,High
Knee arthroscopy,0,7,44,High
Cholecystectomy,0,4,25,Mid
Hernia repair,5,29,21,High
Prostatectomy,9,14,27,Mid
Cataract surgery,0,26,0,High
Cesarean section,5,15,43,High
Coronary artery bypass graft (CABG),0,0,35,High
Appendectomy,5,15,42,High
Cesarean section,2,4,36,High
Hip replacement,7,2,1,Low
Hernia repair,5,19,16,Mid
Hysterectomy,10,14,39,High
Prostatectomy,0,30,37,High
Cataract surgery,4,12,20,Mid
Prostatectomy,7,23,8,High
Cesarean section,2,15,12,Mid
Hysterectomy,5,22,10,High
Hip replacement,4,10,15,Mid
Knee arthroscopy,5,20,15,High
Appendectomy,9,1,1,Low
Hysterectomy,0,21,41,High
Hernia repair,6,26,43,High
Coronary artery bypass graft (CABG),8,5,7,Low
Hip replacement,1,25,42,High
Appendectomy,9,25,41,High
Cataract surgery,4,29,12,High
Coronary artery bypass graft (CABG),9,26,16,High
Cesarean section,3,5,38,High
Hysterectomy,5,13,23,Mid
Appendectomy,5,24,2,High
Cholecystectomy,10,10,29,Mid
Knee arthroscopy,1,7,12,Low
Knee arthroscopy,1,7,18,Low
Hip replacement,3,0,6,Low
Cataract surgery,0,20,8,High
Hip replacement,8,6,18,Low
Cholecystectomy,6,5,44,High
Hernia repair,6,20,39,High
Cataract surgery,2,7,21,Mid
Prostatectomy,10,18,17,Mid
Hernia repair,2,21,22,High
Cataract surgery,0,30,1,High
Cataract surgery,2,20,49,High
Cholecystectomy,2,23,49,High
Cesarean section,3,19,10,Mid
Cholecystectomy,3,7,30,High
Cataract surgery,2,25,32,High
Appendectomy,9,13,13,Mid
Hernia repair,7,30,15,High
Cholecystectomy,7,17,10,Mid
Cesarean section,0,24,32,High
Hysterectomy,6,28,6,High
Hip replacement,10,15,30,High
Cataract surgery,1,8,47,High
Prostatectomy,0,14,45,High
Hysterectomy,2,29,46,High
Knee arthroscopy,3,25,13,High
Coronary artery bypass graft (CABG),5,9,27,Mid
Cesarean section,9,28,42,High
Prostatectomy,4,21,15,High
Coronary artery bypass graft (CABG),3,15,18,Mid
Cesarean section,7,3,16,Low
Appendectomy,10,19,25,Mid
Hip replacement,3,12,5,Mid
Hysterectomy,9,21,42,High
Hernia repair,1,4,48,High
Cesarean section,2,21,8,High
Hernia repair,5,6,49,High
Hip replacement,7,22,16,High
Cataract surgery,7,8,30,High
Knee arthroscopy,10,7,11,Low
Hysterectomy,8,28,22,High
Hip replacement,6,15,4,Mid
Hip replacement,1,5,42,High
Appendectomy,7,27,35,High
Coronary artery bypass graft (CABG),6,15,35,High
Knee arthroscopy,7,5,2,Low
Hysterectomy,2,30,23,High
Cataract surgery,6,13,16,Mid
Cataract surgery,9,20,38,High
Cholecystectomy,8,0,25,Mid
Hip replacement,2,24,3,High
Cesarean section,9,8,44,High
Appendectomy,5,24,11,High
Knee arthroscopy,1,30,0,High
Cataract surgery,1,26,20,High
Hysterectomy,4,23,18,High
Cholecystectomy,4,12,20,Mid
Hysterectomy,6,25,17,High
Appendectomy,1,28,42,High
Cesarean section,10,18,2,Mid
Cholecystectomy,6,16,48,High
Cholecystectomy,4,10,43,High
Coronary artery bypass graft (CABG),5,27,31,High
Knee arthroscopy,7,27,9,High
Cholecystectomy,9,7,39,High
Coronary artery bypass graft (CABG),3,22,14,High
Coronary artery bypass graft (CABG),6,28,4,High
Appendectomy,5,4,3,Low
Hernia repair,9,9,27,Mid
Hysterectomy,1,6,50,High
Cesarean section,7,9,3,Low
Prostatectomy,9,3,14,Low
Hysterectomy,8,8,16,Low
Cholecystectomy,4,26,43,High
Cesarean section,9,25,2,High
Cataract surgery,3,13,9,Mid
Hernia repair,5,1,46,High
Cataract surgery,7,24,41,High
Cataract surgery,10,8,22,Mid
Knee arthroscopy,2,20,17,High
Hysterectomy,9,26,0,High
Prostatectomy,10,0,34,High
Appendectomy,10,22,30,High
Prostatectomy,0,9,43,High
Cataract surgery,3,9,0,Low
Cholecystectomy,3,19,2,Mid
Hernia repair,0,24,2,High
Hip replacement,8,21,36,High
Prostatectomy,2,28,18,High
Cataract surgery,4,2,28,Mid
Hernia repair,5,5,24,Mid
Cesarean section,7,28,32,High
Hysterectomy,5,25,35,High
Coronary artery bypass graft (CABG),2,5,28,Mid
Knee arthroscopy,5,20,25,High
Hernia repair,0,1,3,Low
Cholecystectomy,3,25,48,High
Cholecystectomy,5,25,13,High
Hernia repair,6,17,49,High
Cholecystectomy,10,22,26,High
Hysterectomy,10,1,32,High
Cholecystectomy,9,11,21,Mid
Prostatectomy,2,21,47,High
Coronary artery bypass graft (CABG),8,4,2,Low
Cholecystectomy,6,19,22,Mid
Coronary artery bypass graft (CABG),0,6,20,Mid
Cataract surgery,1,23,40,High
Appendectomy,0,15,22,Mid
Hysterectomy,10,19,3,Mid
Appendectomy,8,0,20,Mid
Cataract surgery,8,0,36,High
Hysterectomy,6,16,42,High
Hernia repair,9,26,30,High
Hernia repair,2,0,20,Mid
Coronary artery bypass graft (CABG),4,20,25,High
Cataract surgery,3,19,40,High
Coronary artery bypass graft (CABG),6,12,34,High
Knee arthroscopy,8,29,37,High
Cholecystectomy,1,8,23,Mid
Hip replacement,7,14,10,Mid
Knee arthroscopy,8,2,40,High
Cholecystectomy,9,13,28,Mid
Hysterectomy,9,22,46,High
Coronary artery bypass graft (CABG),8,10,2,Mid
Hysterectomy,9,23,0,High
Hysterectomy,6,21,18,High
Cholecystectomy,8,11,45,High
Cataract surgery,8,12,48,High
Cholecystectomy,2,25,21,High
Cesarean section,3,12,13,Mid
Hernia repair,1,0,48,High
Hernia repair,9,23,13,High
Knee arthroscopy,2,30,43,High
Hernia repair,10,9,15,Low
Cholecystectomy,10,2,32,High
Prostatectomy,4,23,12,High
Coronary artery bypass graft (CABG),4,27,37,High
Cholecystectomy,5,3,48,High
Cholecystectomy,6,15,11,Mid
Hip replacement,6,7,50,High
Coronary artery bypass graft (CABG),0,15,37,High
Cesarean section,1,26,38,High
Hernia repair,8,16,32,High
Coronary artery bypass graft (CABG),9,18,32,High
Hernia repair,1,21,28,High
Knee arthroscopy,5,14,4,Mid
Coronary artery bypass graft (CABG),10,15,5,Mid
Hernia repair,10,14,30,High
Cesarean section,0,24,15,High
Appendectomy,2,1,30,High
Hysterectomy,1,10,24,Mid
Hysterectomy,2,0,47,High
Cesarean section,4,14,45,High
Hip replacement,10,25,32,High
Appendectomy,9,18,12,Mid
Knee arthroscopy,5,3,9,Low
Cesarean section,8,10,23,Mid
Hysterectomy,10,4,9,Low
Hysterectomy,9,2,40,High
Hysterectomy,3,12,30,High
Cataract surgery,6,9,12,Low
Cesarean section,5,10,2,Mid
Cholecystectomy,1,17,49,High
Knee arthroscopy,9,1,33,High
Hysterectomy,10,6,48,High
Hernia repair,10,8,27,Mid
Cesarean section,10,9,18,Low
Cataract surgery,7,17,22,Mid
Cesarean section,6,22,44,High
Knee arthroscopy,6,6,31,High
Cataract surgery,7,26,12,High
Knee arthroscopy,10,6,32,High
Cesarean section,0,2,33,High
Cholecystectomy,0,11,32,High
Knee arthroscopy,7,6,4,Low
Cataract surgery,3,16,2,Mid
Cataract surgery,4,25,6,High
Knee arthroscopy,7,0,23,Mid
Prostatectomy,4,4,21,Mid
Cesarean section,9,15,44,High
Prostatectomy,3,14,22,Mid
Hip replacement,5,1,29,Mid
Cesarean section,4,8,17,Low
Knee arthroscopy,6,30,31,High
Appendectomy,9,6,6,Low
Knee arthroscopy,6,3,32,High
Prostatectomy,3,19,4,Mid
Cholecystectomy,4,17,48,High
Knee arthroscopy,2,20,27,High
Knee arthroscopy,3,3,7,Low
Cholecystectomy,3,27,14,High
Knee arthroscopy,2,12,3,Mid
Hysterectomy,9,0,33,High
Appendectomy,4,27,4,High
Hernia repair,4,23,32,High
Appendectomy,10,2,4,Low
Knee arthroscopy,6,15,37,High
Hysterectomy,3,29,33,High
Cesarean section,3,21,25,High
Knee arthroscopy,8,3,0,Low
Prostatectomy,5,24,3,High
Hysterectomy,3,22,38,High
Cholecystectomy,1,24,25,High
Hysterectomy,5,15,32,High
Cholecystectomy,1,25,32,High
Hip replacement,4,18,7,Mid
Hernia repair,5,0,19,Low
Coronary artery bypass graft (CABG),3,4,15,Low
Hysterectomy,2,18,20,Mid
Cataract surgery,6,21,44,High
Prostatectomy,1,23,25,High
Knee arthroscopy,10,10,22,Mid
Prostatectomy,5,12,17,Mid
Appendectomy,3,19,30,High
Coronary artery bypass graft (CABG),5,4,41,High
Appendectomy,3,20,11,High
Hip replacement,3,3,0,Low
Coronary artery bypass graft (CABG),3,3,41,High
Coronary artery bypass graft (CABG),8,3,8,Low
Appendectomy,6,3,2,Low
Cholecystectomy,2,19,50,High
Appendectomy,2,20,25,High
Prostatectomy,5,17,8,Mid
Cholecystectomy,5,17,41,High
Prostatectomy,3,15,50,High
